Locality,type 0f crime,date,time,area of the locality,sloved?,total police officers,
TUGLAK ROAD,theft,29/10/13,2:11,6.857849293,0,64,
SARAI ROHILLA,theft,15/06/14,14:34,1.948430286,1,56,
RANI BAGH,assualt_murders,20/03/14,20:21,2.974723888,1,60,
CHANAKYAPURI,theft,08/04/13,22:03,10.99345252,0,24,
NIHAL VIHAR,theft,17/04/14,15:34,3.660010619,0,94,
DWARKA SEC-23,theft,23/09/16,19:04,30.06854798,1,72,
FATEHPUR BERI,theft,19/01/16,8:33,35.89559495,1,43,
RANI BAGH,theft,29/01/14,20:50,2.974723888,1,1,
TILAK NAGAR,theft,10/04/12,16:03,1.622207446,1,45,
NANGLOI,theft,23/09/15,8:20,2.253261514,1,2,
NARELA,theft,07/07/14,1:00,20.33327697,0,18,
SONIA VIHAR,theft,19/09/12,19:36,4.453887398,0,8,
WELCOME,theft,03/06/13,1:06,1.805524407,0,69,
SUBHASH PLACE,theft,04/07/14,1:24,0.885072498,0,33,
CONNAUGHT PLACE,theft,30/2/2013,21:41,5.266891996,0,56,
NEW FRIENDS COLONY,theft,10/09/13,17:43,4.04538671,0,83,
MODEL TOWN,theft,25/04/16,10:39,2.689157085,0,37,
HARI NAGAR,theft,05/03/16,3:06,2.386161479,1,77,
MAURICE NAGAR,robbery,24/05/15,16:15,6.149745104,0,36,
RANHOLA,theft,24/11/14,9:14,11.28382351,0,43,
MANSAROVAR PARK,theft,28/07/13,0:21,2.231365619,1,32,
RAJOURI GARDEN,theft,09/07/16,9:49,1.798942912,0,78,
SHALIMAR BAGH,theft,11/03/12,23:16,1.28161156,0,72,
SHAKARPUR,theft,24/07/16,16:02,3.019451766,1,53,
NEW ASHOK NAGAR,robbery,22/10/15,12:33,3.300804937,0,9,
DARYA GANJ,theft,30/11/13,5:30,5.570696132,0,12,
CONNAUGHT PLACE,theft,02/01/12,22:51,5.266891996,0,62,
I.P. ESTATE,theft,13/11/16,11:47,9.253420865,1,59,
NEW USMANPUR,theft,20/03/15,18:57,3.093393387,0,45,
CHHAWLA,theft,23/04/14,17:25,26.30944559,1,91,
BHAJANPURI,rape,12/08/15,2:35,10.15799164,0,59,
OKHLA,theft,24/11/13,20:08,1.71603619,0,35,
NEB SARAI,robbery,19/06/13,4:09,8.344724019,1,8,
SWARUP NAGAR,theft,13/01/16,21:08,12.08811457,0,8,
BABA HARI DAS NAGAR,robbery,17/08/14,22:54,28.98213358,0,35,
D.B.G ROAD,theft,04/09/16,19:06,1.643641889,0,12,
MOTI NAGAR,theft,09/09/16,20:21,3.148605142,0,6,
ADRASH NAGAR,theft,03/02/16,5:14,1.646190527,1,17,
PULPRAHLAD PUR,theft,24/03/16,17:41,3.852127696,1,33,
NANGLOI,theft,13/03/13,1:48,2.253261514,0,47,
NEW ASHOK NAGAR,theft,12/03/16,0:34,3.300804937,0,96,
KARAWAL NAGAR,theft,03/04/14,19:52,2.937546578,1,28,
ROOP NAGAR,theft,08/01/13,18:31,1.076492634,0,86,
CHITRANJAN PARK,theft,11/01/12,20:22,2.659329537,0,11,
DELHI CANTT,theft,19/04/14,23:33,42.83635341,1,66,
CHHAWLA,theft,24/11/15,17:48,26.30944559,1,8,
VIKAS PURI,theft,07/09/15,14:05,1.247661874,0,46,
NEW ASHOK NAGAR,theft,12/10/14,4:33,3.300804937,0,70,
SUBHASH PLACE,theft,29/04/15,10:23,0.885072498,1,2,
BARAKHAMBA ROAD,theft,02/02/15,18:20,3.748441999,0,86,
CONNAUGHT PLACE,theft,07/06/12,13:27,5.266891996,0,60,
JAFFARPUR KALAN,theft,07/05/16,17:06,70.46948722,1,33,
GULABIBAGH,theft,18/05/14,15:07,2.218660178,0,68,
JAMIA NAGAR,rape,10/08/16,4:42,7.880690981,1,97,
PASCHIM VIHAR,theft,02/07/14,1:27,3.794663797,0,11,
SHAKARPUR,theft,27/03/15,9:02,3.019451766,1,89,
NAJAFGARH,theft,16/08/15,3:27,8.461597124,1,86,
TIMARPUR,theft,12/03/14,0:21,6.149745104,1,84,
MANDAWALI,theft,11/02/12,10:05,4.995712622,0,33,
PUNJABI BAGH,theft,06/01/12,15:45,2.57731064,0,11,
MALVIYA NAGAR,theft,16/05/16,6:13,1.379853572,0,16,
BURARI,theft,23/02/16,20:15,11.3338763,0,49,
BAWANA,theft,06/03/16,17:31,40.32792292,0,20,
CHANAKYAPURI,theft,13/03/15,21:24,10.99345252,1,98,
SUNLIGHT COLONY,rape,27/07/12,8:32,2.112193774,0,77,
UTTAM NAGAR,theft,14/02/16,12:43,2.747375479,1,13,
SONIA VIHAR,theft,20/05/12,6:56,4.453887398,1,35,
ASHOK VIHAR,theft,15/05/13,8:15,3.536288039,1,0,
SAFDARJUNG ENCLAVE,theft,10/08/16,12:12,2.366255942,1,42,
MAHENDRA PARK,theft,25/03/16,22:40,2.463668046,0,73,
CIVIL LINES,theft,13/03/15,21:58,4.21554288,0,61,
PARLIAMENT STREET,theft,15/07/13,13:28,5.266891996,1,37,
KN KATJU MARG,theft,12/08/12,19:20,8.251478933,1,11,
MADHUVIHAR,theft,21/08/16,7:42,4.995712622,1,50,
BHARAT NAGAR,theft,24/05/12,7:19,1.939521818,1,62,
BINDAPUR,theft,11/11/14,10:13,2.747375479,1,1,
VIVEKVIHAR,theft,27/08/12,21:46,4.731868997,1,62,
PREETVIHAR,rape,15/07/13,3:53,2.272578698,0,69,
TIMARPUR,theft,07/03/14,9:53,6.149745104,1,43,
MOTI NAGAR,theft,22/09/16,8:32,3.148605142,0,31,
ALIPUR,assualt_murders,10/10/12,8:22,51.54547492,0,13,
RANJIT NAGAR,theft,06/06/16,4:51,2.003783762,0,74,
ROHINI SOUTH,robbery,06/06/12,19:03,2.649542395,1,90,
SULTAN PURI,theft,22/07/14,19:31,1.975070373,0,75,
BURARI,theft,30/06/13,3:13,11.3338763,1,54,
NEB SARAI,theft,16/10/13,4:54,8.344724019,1,8,
SOUTH CAMPUS,theft,28/03/15,4:59,4.518856098,1,11,
TILAK NAGAR,theft,19/07/13,3:32,1.622207446,0,80,
PAHARGANJ,theft,14/11/16,1:17,1.728182346,0,97,
RAJOURI GARDEN,theft,07/03/16,16:41,1.798942912,1,18,
BHALSWA DAIRY,assualt_murders,03/01/13,9:28,4.49852205,0,90,
NEB SARAI,theft,04/09/13,16:30,8.344724019,0,14,
BEGUM PUR,theft,05/09/15,16:08,35.4901909,0,82,
PRASHANT VIHAR,theft,29/08/14,19:58,2.076678927,1,54,
BHARAT NAGAR,robbery,11/10/12,4:35,1.939521818,0,11,
RAJOURI GARDEN,theft,19/03/14,11:03,1.731624057,1,6,
JAHANGIR PURI,theft,19/03/12,12:10,2.463668046,1,12,
HAUZ KHAS,theft,28/06/12,21:53,2.436526458,0,66,
WELCOME,theft,19/09/15,9:33,1.805524407,1,19,
KASHMERE GATE,theft,08/02/12,4:46,1.627909974,0,37,
SWARUP NAGAR,theft,04/05/12,14:49,12.08811457,1,0,
ADRASH NAGAR,theft,24/03/15,17:33,1.646190527,0,92,
FATEHPUR BERI,theft,29/01/16,1:28,35.89559495,0,54,
BEGUM PUR,theft,07/03/16,23:15,35.4901909,1,76,
UTTAM NAGAR,theft,15/11/16,19:06,2.747375479,1,72,
SHALIMAR BAGH,theft,27/09/15,23:38,1.28161156,0,21,
MAYURVIHAR,theft,23/04/12,23:14,2.111658828,1,42,
UTTAM NAGAR,theft,18/11/16,9:45,2.747375479,0,69,
NANGLOI,theft,05/01/13,19:02,2.253261514,0,23,
KASHMERE GATE,robbery,07/10/13,11:27,1.627909974,0,3,
NAJAFGARH,theft,05/05/14,15:46,8.461597124,0,68,
PUNJABI BAGH,theft,22/02/16,21:47,2.57731064,1,63,
MAHENDRA PARK,theft,17/09/12,13:36,2.463668046,1,30,
CIVIL LINES,theft,03/06/12,6:26,4.21554288,0,59,
VIJAY VIHAR,robbery,26/03/14,12:23,2.649542395,0,59,
BAWANA,theft,09/08/13,6:05,40.32792292,1,80,
UTTAM NAGAR,theft,21/09/12,1:03,2.747375479,1,60,
GOVIND PURI,theft,23/11/15,21:46,8.99271206,1,56,
JANAK PURI,theft,28/05/12,11:07,2.051115234,1,50,
PATEL NAGAR,theft,29/06/15,7:14,4.104570166,1,4,
JYOTI NAGAR,theft,21/02/15,6:53,1.275858528,0,71,
CONNAUGHT PLACE,theft,19/11/14,10:36,5.266891996,1,69,
JAFFARPUR KALAN,theft,23/11/13,1:41,70.46948722,1,21,
NANGLOI,theft,23/04/12,15:24,2.253261514,1,18,
JAGATPURI,theft,15/08/13,22:57,1.021961219,0,6,
JAGATPURI,theft,08/04/13,16:47,1.021961219,0,19,
SUBHASH PLACE,theft,04/10/16,13:28,0.885072498,1,12,
JANAK PURI,theft,26/02/15,18:34,2.051115234,0,67,
PASCHIM VIHAR,theft,20/08/12,17:16,3.794663797,0,9,
PANDAV NAGAR,theft,03/04/12,22:49,1.470612978,1,98,
MEHRAULI,theft,24/11/14,4:49,38.91186678,0,82,
JAFFARPUR KALAN,robbery,26/08/12,11:42,70.46948722,0,88,
SARITA VIHAR,theft,14/04/13,12:54,7.942774025,0,97,
NEB SARAI,theft,14/06/12,0:28,8.344724019,1,19,
TIMARPUR,robbery,06/03/15,6:23,6.149745104,1,33,
KN KATJU MARG,theft,09/05/12,2:47,8.251478933,0,17,
TUGLAK ROAD,theft,29/09/16,22:48,6.857849293,0,94,
MIANWALI NAGAR,theft,01/10/13,9:25,1.729847853,1,57,
UTTAM NAGAR,theft,08/02/13,19:44,2.747375479,1,1,
RAJOURI GARDEN,theft,20/04/14,6:52,1.798942912,1,60,
SHAHBAD DAIRY,theft,03/08/13,0:07,49.82264953,1,64,
SUBZIMANDI,theft,22/09/13,15:05,2.975208719,1,59,
JAGATPURI,robbery,08/07/15,15:23,1.021961219,0,30,
NEW FRIENDS COLONY,theft,20/01/16,3:27,4.04538671,1,98,
TILAK NAGAR,theft,30/04/15,23:42,1.622207446,1,60,
CHITRANJAN PARK,theft,15/05/14,15:46,2.659329537,0,62,
UTTAM NAGAR,theft,07/06/15,15:49,2.747375479,1,60,
MANDAWALI,theft,11/02/15,5:11,4.995712622,1,41,
NEW USMANPUR,theft,04/07/15,12:20,3.093393387,1,32,
RAJOURI GARDEN,assualt_murders,13/02/14,2:54,1.798942912,0,0,
JAGATPURI,theft,22/08/12,20:39,1.021961219,1,93,
RANI BAGH,theft,05/01/16,11:21,2.974723888,1,21,
SWARUP NAGAR,rape,28/09/13,0:40,12.08811457,0,60,
SARITA VIHAR,theft,14/11/13,11:26,7.942774025,1,38,
SEELAMPUR,robbery,11/07/12,3:52,1.57623738,0,47,
BAWANA,theft,11/08/12,2:21,40.32792292,1,5,
ROOP NAGAR,robbery,26/07/13,3:03,1.076492634,1,78,
ROHINI SOUTH,assualt_murders,08/11/15,1:26,2.649542395,1,68,
AMAR COLONY,theft,21/10/15,23:24,1.505936692,1,7,
PARSHAD NAGAR,theft,05/04/16,10:12,4.104570166,0,84,
NEB SARAI,theft,23/03/14,2:49,8.344724019,1,42,
PASCHIM VIHAR,theft,19/06/16,12:42,3.794663797,0,81,
NANGLOI,theft,21/07/16,16:53,2.253261514,0,91,
HARSH VIHAR,theft,22/01/15,21:20,2.572204895,0,2,
PREETVIHAR,theft,26/04/12,16:48,2.272578698,0,4,
PRASHANT VIHAR,assualt_murders,13/06/16,6:01,6.857849293,1,32,
AMAN VIHAR,theft,12/10/14,2:52,3.296887934,1,92,
GEETA COLONY,theft,05/01/15,6:52,1.021961219,1,66,
HARI NAGAR,theft,25/10/14,7:07,2.386161479,1,38,
PRASHANT VIHAR,robbery,25/02/12,18:00,6.857849293,1,53,
MAURICE NAGAR,rape,16/03/12,18:31,6.149745104,1,90,
BARAKHAMBA ROAD,theft,11/09/15,16:19,3.748441999,0,80,
KESHAV PURAM,theft,21/08/12,5:08,1.352844685,1,14,
KHYALA,robbery,13/11/12,12:39,2.093069914,0,48,
SHAHBAD DAIRY,theft,17/09/12,8:07,49.82264953,0,3,
MOTI NAGAR,theft,09/04/15,2:11,3.148605142,0,1,
TUGLAK ROAD,theft,20/03/15,0:30,6.857849293,0,57,
OKHLA,theft,04/06/13,21:42,1.71603619,1,89,
TILAK MARG,theft,13/03/13,2:43,3.748441999,1,60,
GANDHI NAGAR,robbery,25/11/16,23:12,1.205110776,1,81,
BURARI,theft,23/08/14,7:46,11.3338763,0,90,
SOUTH CAMPUS,theft,02/10/15,2:01,4.518856098,0,42,
CHHAWLA,robbery,29/10/15,0:42,26.30944559,1,67,
ANANDVIHAR,theft,20/09/13,3:23,4.558969692,0,76,
PARSHAD NAGAR,theft,12/04/15,13:10,4.104570166,1,68,
SADAR BAZAR,theft,26/09/12,13:20,2.975208719,1,8,
MEHRAULI,theft,15/05/14,22:47,38.91186678,1,61,
ANANDVIHAR,theft,22/10/16,10:44,4.558969692,0,73,
JAHANGIR PURI,theft,14/04/15,7:07,2.463668046,0,96,
NAJAFGARH,theft,15/11/13,12:13,8.461597124,0,20,
CIVIL LINES,theft,27/06/16,8:26,4.21554288,1,5,
SEELAMPUR,theft,13/07/13,4:19,1.57623738,0,18,
MAURYA ENCLAVE,assualt_murders,20/04/14,22:16,5.879256003,1,4,
BARAKHAMBA ROAD,theft,19/06/16,22:09,3.748441999,0,72,
DWARKA SEC-23,theft,25/09/16,4:54,30.06854798,0,43,
MAYA PURI,rape,20/11/14,16:40,2.553754816,1,88,
CHANDNI MAHAL,theft,02/04/13,21:37,5.570696132,1,99,
SHALIMAR BAGH,theft,27/01/16,1:21,1.28161156,0,28,
KN KATJU MARG,theft,16/06/15,20:15,8.251478933,0,76,
PARSHAD NAGAR,theft,28/04/15,18:14,4.104570166,1,50,
MANSAROVAR PARK,theft,17/09/12,19:08,2.231365619,1,35,
RAJOURI GARDEN,theft,21/11/14,16:15,1.731624057,1,57,
TIMARPUR,theft,01/04/14,20:25,6.149745104,0,78,
BARA HINDU RAO,theft,17/08/15,9:14,1.749323881,0,16,
CONNAUGHT PLACE,theft,13/03/14,9:53,5.266891996,0,37,
AMAR COLONY,theft,03/03/14,0:49,1.505936692,0,59,
DWARKA SEC-23,theft,20/09/14,21:21,30.06854798,1,43,
MALVIYA NAGAR,theft,26/10/13,10:44,1.379853572,1,47,
PUNJABI BAGH,theft,03/07/15,12:10,2.57731064,0,2,
NEW ASHOK NAGAR,theft,21/10/16,23:29,3.300804937,0,52,
BADAR PUR,robbery,14/03/15,10:31,2.116989697,1,36,
AMAN VIHAR,theft,15/05/15,21:30,3.296887934,1,95,
PANDAV NAGAR,theft,15/06/15,12:41,1.470612978,1,69,
BARAKHAMBA ROAD,robbery,24/03/12,4:17,3.748441999,1,21,
KOTALA MUBARAK PUR,theft,05/10/14,14:59,1.628367164,1,0,
MANDAWALI,theft,18/08/14,22:36,4.995712622,0,91,
MANDIR MARG,theft,30/2/2012,18:45,9.889059631,1,10,
CIVIL LINES,theft,27/03/12,1:24,4.21554288,0,96,
CHANAKYAPURI,theft,18/10/15,15:47,10.99345252,1,50,
MOTI NAGAR,sexual_harassement,17/03/12,4:17,3.148605142,1,21,
SUNLIGHT COLONY,robbery,28/08/14,15:06,2.112193774,1,19,
DARYA GANJ,theft,26/10/15,20:14,5.570696132,1,30,
SUNLIGHT COLONY,theft,21/05/12,22:03,2.112193774,0,57,
BINDAPUR,theft,09/08/16,10:58,2.747375479,0,80,
VASANT KUNJ NORTH,theft,07/08/12,4:30,14.1053716,1,67,
ANANDVIHAR,theft,23/02/12,0:07,4.558969692,0,67,
AMAR COLONY,theft,21/11/15,22:14,1.505936692,1,17,
VASANT KUNJ NORTH,robbery,06/03/13,8:11,14.1053716,0,54,
BHARAT NAGAR,theft,15/05/15,16:02,1.939521818,0,60,
SONIA VIHAR,theft,01/11/15,21:29,4.453887398,0,80,
MOTI NAGAR,theft,25/07/16,10:56,3.148605142,0,22,
INDERPURI,theft,14/06/12,17:26,1.255396299,1,62,
MADHUVIHAR,robbery,28/08/14,23:30,4.995712622,1,9,
KHYALA,sexual_harassement,13/03/12,2:08,2.093069914,1,13,
PAHARGANJ,theft,07/08/14,8:04,1.728182346,0,97,
RAJOURI GARDEN,theft,01/07/14,10:17,1.798942912,0,62,
SONIA VIHAR,theft,06/02/13,6:58,4.453887398,1,99,
MUNDKA,theft,10/11/15,9:24,48.58235864,0,9,
DABRI,theft,02/06/13,15:18,3.401013428,1,40,
SUNLIGHT COLONY,theft,16/04/14,2:27,2.112193774,0,84,
RAJOURI GARDEN,theft,23/05/14,22:26,1.731624057,1,71,
AMAR COLONY,robbery,20/02/14,7:25,1.505936692,1,30,
MANDAWALI,theft,21/08/15,1:50,4.995712622,1,64,
MODEL TOWN,theft,08/03/12,2:39,2.689157085,1,44,
D.B.G ROAD,theft,05/02/16,3:05,1.643641889,0,18,
SEEMAPURI,assualt_murders,12/11/12,23:45,4.731868997,1,70,
MAURYA ENCLAVE,theft,08/03/16,18:54,5.879256003,0,49,
DWARKA SEC-23,theft,27/04/15,21:57,30.06854798,0,18,
JAGATPURI,theft,08/02/15,18:21,1.021961219,0,13,
GOVIND PURI,theft,21/06/14,17:41,8.99271206,0,33,
WELCOME,theft,24/08/14,18:00,1.805524407,1,38,
CHITRANJAN PARK,theft,30/07/12,8:10,2.659329537,1,99,
ANANDVIHAR,theft,23/11/15,0:30,4.558969692,1,1,
MANDAWALI,theft,09/04/13,18:12,4.995712622,0,95,
SAROJINI NAGAR,theft,23/09/12,13:35,1.891342634,0,53,
CHHAWLA,theft,29/02/12,14:54,26.30944559,0,95,
CHANAKYAPURI,theft,24/10/13,21:17,10.99345252,1,43,
RANI BAGH,theft,09/06/12,9:31,2.974723888,1,85,
MANDAWALI,assualt_murders,23/01/16,18:40,4.995712622,0,36,
RANJIT NAGAR,theft,12/09/14,11:13,2.003783762,1,59,
BINDAPUR,theft,04/09/14,10:51,2.5680795,0,33,
ANAND PARBAT,theft,05/09/14,3:20,1.948430286,1,95,
ROOP NAGAR,rape,17/08/12,23:29,1.076492634,1,88,
MADHUVIHAR,theft,06/05/16,2:16,4.995712622,1,67,
DABRI,theft,13/08/15,1:34,3.401013428,0,33,
NIHAL VIHAR,theft,07/03/14,10:55,3.660010619,1,12,
PATEL NAGAR,rape,19/09/15,3:23,4.104570166,0,62,
NEW ASHOK NAGAR,theft,09/08/15,19:44,3.300804937,0,79,
PUNJABI BAGH,theft,11/08/15,5:51,2.57731064,0,99,
AMAR COLONY,theft,05/11/12,20:38,1.505936692,1,13,
SHAKARPUR,theft,21/04/14,16:06,3.019451766,0,62,
DEFENCE COLONY,theft,19/06/16,1:46,2.480276534,0,48,
JAGATPURI,theft,10/05/13,22:36,1.021961219,0,99,
NANDNAGARI,rape,01/06/13,4:40,2.02815697,1,70,
DELHI CANTT,theft,04/01/14,4:26,42.83635341,0,71,
DWARKA SOUTH,theft,13/08/15,8:55,30.06854798,1,31,
MANDIR MARG,assualt_murders,17/08/13,11:42,9.889059631,1,45,
RAJOURI GARDEN,theft,29/08/12,16:56,1.731624057,1,57,
HAUZ KHAS,theft,01/08/14,10:35,2.436526458,1,85,
BEGUM PUR,theft,25/07/14,9:14,35.4901909,0,94,
RAJOURI GARDEN,theft,10/09/12,15:39,1.731624057,0,59,
UTTAM NAGAR,theft,27/07/15,11:31,2.747375479,1,98,
ASHOK VIHAR,theft,28/10/12,0:09,3.536288039,1,99,
UTTAM NAGAR,theft,17/07/15,20:16,2.747375479,0,75,
RAJOURI GARDEN,theft,15/10/13,5:20,1.798942912,0,95,
SULTAN PURI,rape,02/10/15,1:58,1.975070373,0,13,
RAJOURI GARDEN,theft,05/05/15,9:31,1.798942912,0,8,
NANDNAGARI,theft,28/06/15,15:12,2.02815697,1,71,
NEW FRIENDS COLONY,theft,06/02/16,2:57,4.04538671,0,52,
MANDAWALI,theft,10/11/13,15:25,4.995712622,0,14,
FATEHPUR BERI,theft,03/08/16,19:07,35.89559495,1,11,
KASHMERE GATE,theft,04/06/12,12:55,1.627909974,0,67,
ALIPUR,theft,09/01/12,7:06,51.54547492,0,78,
BAWANA,theft,16/06/13,22:20,40.32792292,1,14,
PUNJABI BAGH,theft,21/10/13,0:40,2.57731064,1,58,
NEW ASHOK NAGAR,theft,10/01/14,23:57,3.300804937,1,90,
TILAK NAGAR,assualt_murders,16/10/16,5:41,1.622207446,1,51,
MUKHERJI NAGAR,theft,27/07/15,21:12,6.149745104,1,0,
BARAKHAMBA ROAD,theft,03/09/15,15:28,3.748441999,1,84,
BABA HARI DAS NAGAR,theft,16/04/13,17:53,28.98213358,1,86,
PASCHIM VIHAR,theft,09/11/15,21:30,3.794663797,0,35,
BINDAPUR,theft,08/02/15,9:49,2.5680795,1,31,
KESHAV PURAM,theft,22/10/16,23:38,1.352844685,0,64,
RAJOURI GARDEN,theft,04/10/13,17:22,1.798942912,1,45,
PREETVIHAR,theft,16/06/14,11:38,2.272578698,0,35,
CHANDNI MAHAL,theft,03/01/16,10:27,5.570696132,0,99,
NEW FRIENDS COLONY,theft,01/08/16,8:10,4.04538671,1,95,
RAJINDER NAGAR,theft,20/10/13,10:27,3.013302528,1,37,
NANDNAGARI,theft,16/10/13,8:51,2.02815697,1,91,
NEW ASHOK NAGAR,theft,26/07/15,21:27,3.300804937,1,70,
SEEMAPURI,theft,04/05/15,7:07,4.731868997,0,48,
MOTI NAGAR,theft,01/02/13,11:03,3.148605142,1,73,
NAJAFGARH,theft,03/11/16,21:40,8.461597124,1,38,
AMAN VIHAR,theft,10/04/16,13:09,3.296887934,1,56,
KANJHAWALA,theft,11/01/13,5:33,35.4901909,0,11,
MANDIR MARG,theft,12/02/14,21:20,9.889059631,0,83,
PRASHANT VIHAR,theft,24/06/12,5:59,6.857849293,1,55,
NEW ASHOK NAGAR,theft,28/02/12,0:26,3.300804937,1,9,
JAGATPURI,theft,08/04/12,4:48,1.021961219,1,10,
KAPASHERA,theft,28/07/16,23:52,21.50057279,1,76,
WELCOME,theft,23/05/15,1:10,1.805524407,1,32,
PULPRAHLAD PUR,theft,22/06/15,10:28,3.852127696,1,74,
ANANDVIHAR,theft,22/04/13,20:32,4.558969692,0,33,
SARITA VIHAR,theft,16/05/15,10:17,7.942774025,1,98,
ROHINI SOUTH,robbery,13/03/12,7:43,2.649542395,1,89,
NANDNAGARI,theft,19/10/15,15:17,2.02815697,0,35,
PATEL NAGAR,theft,21/06/15,19:40,4.104570166,0,52,
TUGLAK ROAD,robbery,23/11/13,6:08,6.857849293,1,85,
MADHUVIHAR,theft,17/03/16,16:02,4.995712622,1,70,
BABA HARI DAS NAGAR,robbery,06/03/13,16:25,28.98213358,1,11,
JANAK PURI,theft,23/04/13,22:47,2.051115234,0,48,
FARASH BAZAR,sexual_harassement,11/08/13,4:11,1.721757744,1,70,
BARA HINDU RAO,theft,18/10/14,20:20,1.749323881,1,42,
ANAND PARBAT,robbery,08/04/12,15:47,1.948430286,1,3,
KASHMERE GATE,theft,10/08/15,0:00,1.627909974,0,50,
SARITA VIHAR,robbery,13/01/15,15:21,7.942774025,1,79,
FATEHPUR BERI,theft,25/07/13,8:12,35.89559495,0,40,
NEW ASHOK NAGAR,theft,09/03/14,20:18,3.300804937,0,89,
PARSHAD NAGAR,theft,30/01/15,3:27,4.104570166,0,73,
BARAKHAMBA ROAD,robbery,27/08/16,2:27,3.748441999,0,70,
AMAR COLONY,theft,08/02/12,1:52,1.505936692,1,40,
NEB SARAI,theft,29/07/13,1:00,8.344724019,1,79,
SHAHBAD DAIRY,theft,21/05/14,23:54,49.82264953,1,63,
BURARI,robbery,14/05/15,1:46,11.3338763,1,14,
CIVIL LINES,theft,06/07/12,20:27,4.21554288,0,80,
MIANWALI NAGAR,theft,18/05/16,18:53,1.729847853,0,32,
ROHINI NORTH,theft,18/08/16,0:54,2.076678927,0,88,
SADAR BAZAR,theft,05/11/13,5:30,2.975208719,0,70,
NANGLOI,theft,21/02/12,3:19,2.253261514,0,56,
KASHMERE GATE,theft,19/09/13,21:26,1.627909974,1,14,
MANDAWALI,sexual_harassement,09/05/16,19:41,4.995712622,0,3,
MANDIR MARG,theft,27/04/12,22:27,9.889059631,1,40,
NEW ASHOK NAGAR,theft,13/03/16,13:38,3.300804937,0,33,
PUNJABI BAGH,theft,09/05/14,20:45,2.57731064,1,77,
RAJOURI GARDEN,theft,01/08/12,15:20,1.798942912,1,47,
VASANT KUNJ NORTH,theft,09/05/16,11:26,14.1053716,1,95,
NANGLOI,theft,12/01/16,17:01,2.253261514,1,65,
NANDNAGARI,theft,06/06/12,7:39,2.02815697,0,19,
ANANDVIHAR,robbery,24/05/14,14:47,4.558969692,0,83,
CIVIL LINES,theft,22/01/16,20:11,4.21554288,1,59,
NEW FRIENDS COLONY,theft,27/11/15,23:25,4.04538671,1,14,
H. N. DIN,theft,07/07/14,7:31,10.31630404,1,33,
BINDAPUR,theft,29/2/2014,6:19,2.5680795,0,34,
NANGLOI,theft,10/02/14,0:29,2.253261514,0,33,
DWARKA SEC-23,theft,01/11/14,23:05,30.06854798,1,87,
PARSHAD NAGAR,theft,10/11/14,12:03,4.104570166,0,94,
NEB SARAI,theft,19/06/12,23:17,8.344724019,0,19,
PARLIAMENT STREET,theft,29/06/16,19:00,5.266891996,1,87,
RAJOURI GARDEN,theft,10/11/16,17:50,1.731624057,1,58,
JAFFARPUR KALAN,theft,10/04/12,11:05,70.46948722,0,94,
BARAKHAMBA ROAD,assualt_murders,12/11/13,3:59,3.748441999,1,77,
HARSH VIHAR,theft,19/01/13,2:29,2.572204895,1,37,
JAMA MASJID,theft,02/08/12,14:28,3.817050224,1,36,
ROOP NAGAR,theft,18/10/14,2:55,1.076492634,1,38,
SUBHASH PLACE,theft,02/08/13,12:35,0.885072498,1,19,
HARI NAGAR,theft,15/06/12,5:08,2.386161479,1,90,
GANDHI NAGAR,theft,04/09/12,20:20,1.205110776,0,35,
SOUTH CAMPUS,theft,16/04/14,2:39,4.518856098,1,1,
SUBHASH PLACE,theft,02/04/13,11:19,0.885072498,0,94,
D.B.G ROAD,robbery,03/10/12,3:13,1.643641889,0,36,
BARAKHAMBA ROAD,theft,04/04/15,22:39,3.748441999,0,14,
NEB SARAI,theft,06/11/16,22:57,8.344724019,1,85,
BARAKHAMBA ROAD,theft,15/05/12,11:34,3.748441999,1,78,
NARELA,theft,04/06/12,7:25,20.33327697,1,61,
UTTAM NAGAR,theft,28/03/16,0:13,2.747375479,1,29,
D.B.G ROAD,theft,25/01/15,15:34,1.643641889,0,30,
NEW ASHOK NAGAR,robbery,24/05/13,17:03,3.300804937,0,17,
ALIPUR,rape,30/09/13,0:56,51.54547492,1,43,
ANANDVIHAR,theft,12/01/15,23:30,4.558969692,1,73,
CHANDNI MAHAL,assualt_murders,05/05/13,22:18,5.570696132,1,43,
BABA HARI DAS NAGAR,theft,14/10/15,21:15,28.98213358,1,83,
PUNJABI BAGH,theft,22/08/16,23:49,2.57731064,0,49,
MODEL TOWN,theft,12/04/12,19:31,2.689157085,0,2,
HAUZ KHAS,theft,14/04/13,3:20,2.436526458,1,88,
AMAN VIHAR,robbery,19/04/15,19:18,3.296887934,1,57,
UTTAM NAGAR,theft,27/05/15,3:44,2.747375479,0,49,
RANJIT NAGAR,theft,09/06/15,2:25,2.003783762,1,41,
NIHAL VIHAR,theft,09/10/16,2:59,3.660010619,1,8,
BAWANA,robbery,23/03/13,13:25,40.32792292,1,66,
MIANWALI NAGAR,theft,26/04/16,20:45,1.729847853,1,72,
D.B.G ROAD,theft,04/11/15,8:33,1.643641889,1,82,
DWARKA SOUTH,theft,21/09/12,10:18,30.06854798,0,79,
CIVIL LINES,robbery,19/02/13,0:04,4.21554288,1,18,
NABI KARIM,theft,26/03/13,2:51,1.799866446,0,98,
